word_id,aspect,partner
44735,perfective,перемалывать
44736,perfective,перема'лываться
44737,perfective,-
44738,perfective,перемащивать
44739,perfective,-
44740,perfective,-
44741,imperfective,перемыть
44742,perfective,перемывать
44743,imperfective,перенапря'чь
44744,imperfective,
44748,imperfective,перенасели'ть
44749,imperfective,перенасы'тить
44757,perfective,перенумеровывать
44759,imperfective,переобремени'ть
44760,imperfective,переобу'ть
44761,imperfective,переобу'ться
44762,imperfective,переодеть
44764,both,
44765,both,
44766,imperfective,переохлади'ть
44767,imperfective,"перепаять;перепоить"
44768,imperfective,перепа'рить
44769,imperfective,перепаха̀ть
44771,perfective,перепаивать
44773,imperfective,перепеть
44774,imperfective,перепе́чь
44775,imperfective,перепе́чься
44779,imperfective,перепеча'тать
44780,perfective,
44784,imperfective,перепла'вить
44785,perfective,перепланиро'вывать
